Type,Commit SSH,File Name,From Signature, To Signature
CHANGE,e6a84e1ac244058f775ea0587e6612a4e899b0e6,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/file/transform/LineTokenizer.java, FieldSet tokenize(String line), FieldSet tokenize(@Nullable String line)
CHANGE,4fdd5f4a9891d6cfb008e7e3874bea48956abbc4,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/file/transform/LineTokenizer.java, FieldSet tokenize(String line), FieldSet tokenize(@Nullable String line)
REMOVE,63d3e4e043bd5ae8c2d7ab71bac6c89dcff1fd8f,spring-batch-core/src/main/java/org/springframework/batch/core/metrics/BatchMetrics.java,public static Counter createCounter(String name; String description; Tag... tags),null
REMOVE,63d3e4e043bd5ae8c2d7ab71bac6c89dcff1fd8f,spring-batch-core/src/main/java/org/springframework/batch/core/metrics/BatchMetrics.java,public static Gauge createGauge(String name; String description; Supplier<Number> supplier; Tag... tags),null
ADD,56ef0f35a9a5842906dbd5cb22555e28a023ee0f,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/database/JpaItemWriterTests.java,null,public void testPersist()
ADD,00ac7c58338bad2e29faa6b387753ef92806fd93,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/KafkaItemWriterTests.java,null,public void testBasicDelete()
CHANGE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,public void setPollTimeout(long pollTimeout),public void setPollTimeout(Duration pollTimeout)
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,null,public void setSaveState(boolean saveState)
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,null,public boolean isSaveState()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,null,public V read()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,null,public void close()
CHANGE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,public KafkaItemReader(),public KafkaItemReader(Properties consumerProperties; String topicName; Integer... partitions)
CHANGE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,public KafkaItemReader(),public KafkaItemReader(Properties consumerProperties; String topicName; List<Integer> partitions)
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,public void setTopicPartitions(List<TopicPartition> topicPartitions),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,public void setTopics(List<String> topics),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,public void setConsumerFactory(ConsumerFactory<K; V> consumerFactory),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,public void setOffsetsProvider(OffsetsProvider offsetsProvider),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,public void afterPropertiesSet(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,protected void doOpen(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,protected void jumpToItem(int itemIndex),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,protected V doRead(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,protected Iterator<ConsumerRecord<K; V>> doPoll(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/KafkaItemReader.java,protected void doClose(),null
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilder.java,null,public KafkaItemReaderBuilder<K; V> consumerProperties(Properties consumerProperties)
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilder.java,null,public KafkaItemReaderBuilder<K; V> partitions(Integer... partitions)
