Type,Commit SHA,Java File,Old Function Signature,New Function Signature
METHOD_ADD,efbd72b4d1a0437ca893627b4abb05e30d3f452d,spring-statemachine-samples/turnstilereactive/src/main/java/demo/turnstilereactive/StateMachineController.java,null,public Flux<EventResult> events(@RequestBody Flux<EventData> eventData)
METHOD_ADD,efbd72b4d1a0437ca893627b4abb05e30d3f452d,spring-statemachine-samples/turnstilereactive/src/main/java/demo/turnstilereactive/StateMachineController.java,null,public ResultType getResultType()
METHOD_REMOVE,efbd72b4d1a0437ca893627b4abb05e30d3f452d,spring-statemachine-samples/turnstilereactive/src/main/java/demo/turnstilereactive/StateMachineController.java,public Flux<ResultType> event(@RequestBody Mono<EventData> eventData),null
METHOD_ADD,efbd72b4d1a0437ca893627b4abb05e30d3f452d,spring-statemachine-samples/turnstilereactive/src/test/java/demo/turnstilereactive/TurnstileReactiveTests.java,null,public void testPushDenied()
METHOD_ADD,efbd72b4d1a0437ca893627b4abb05e30d3f452d,spring-statemachine-samples/turnstilereactive/src/test/java/demo/turnstilereactive/TurnstileReactiveTests.java,null,public void testCoinAccepted()
METHOD_ADD,efbd72b4d1a0437ca893627b4abb05e30d3f452d,spring-statemachine-samples/turnstilereactive/src/test/java/demo/turnstilereactive/TurnstileReactiveTests.java,null,public void testNullEvent()
METHOD_ADD,efbd72b4d1a0437ca893627b4abb05e30d3f452d,spring-statemachine-samples/turnstilereactive/src/test/java/demo/turnstilereactive/TurnstileReactiveTests.java,null,public void testCoinPushAccepted()
METHOD_REMOVE,efbd72b4d1a0437ca893627b4abb05e30d3f452d,spring-statemachine-samples/turnstilereactive/src/test/java/demo/turnstilereactive/TurnstileReactiveTests.java,public void testEvent(),null
METHOD_ADD,6befc614a057bfbab51477b5f5eacc7870591382,spring-statemachine-samples/tasks/src/main/java/demo/tasks/Application.java,null,public void configure(StateMachineConfigurationConfigurer<States; Events> config)
METHOD_REMOVE,6befc614a057bfbab51477b5f5eacc7870591382,spring-statemachine-samples/tasks/src/main/java/demo/tasks/Application.java,public TaskExecutor taskExecutor(),null
METHOD_ADD,10f986ce06054b22b54fd38f4f79bd44c71d6251,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,null,private Mono<Void> completionStateListenerSink(Region<S; E> region)
METHOD_ADD,96773828fcf9b92b0a53750de7980f3eb1f08178,spring-statemachine-core/src/test/java/org/springframework/statemachine/docs/DocsConfigurationSampleTests.java,null, void signalMachine2()
METHOD_ADD,96773828fcf9b92b0a53750de7980f3eb1f08178,spring-statemachine-core/src/test/java/org/springframework/statemachine/docs/DocsMigrationTests.java,null,public void sample3()
