Change Type,Commit SSH,File Name,From Signature, To Signature
ADD,89c8b584b0d42668bea155cf30300abf5a112860,spring-boot-starter/example-web/src/test/java/org/camunda/bpm/spring/boot/example/web/AbstractTest.java,null,void testContext()
ADD,89c8b584b0d42668bea155cf30300abf5a112860,spring-boot-starter/example-web/src/test/java/org/camunda/bpm/spring/boot/example/web/AbstractTest.java,null,ProcessEngine getProcessEngine()
ADD,89c8b584b0d42668bea155cf30300abf5a112860,spring-boot-starter/example-web/src/test/java/org/camunda/bpm/spring/boot/example/web/Cam9452Test.java,null,void setUp()
ADD,89c8b584b0d42668bea155cf30300abf5a112860,spring-boot-starter/example-web/src/test/java/org/camunda/bpm/spring/boot/example/web/Cam9452Test2.java,null,void setUp()
ADD,89c8b584b0d42668bea155cf30300abf5a112860,spring-boot-starter/example-web/src/test/java/org/camunda/bpm/spring/boot/example/web/Cam9452Test3.java,null,void setUp()
ADD,67f4c54c4ddbb2e8697486a9ecb8b71f921e8668,spring-boot-starter/example-web/src/test/java/org/camunda/bpm/spring/boot/example/web/CamundaBpmRestIT.java,null,RestTemplate restTemplate()
REMOVE,67f4c54c4ddbb2e8697486a9ecb8b71f921e8668,spring-boot-starter/example-web/src/test/java/org/camunda/bpm/spring/boot/example/web/CamundaBpmRestIT.java,RestTemplateBuilder restTemplateBuilder(),null
CHANGE,e1a3fd355e23417a72f57bd8946cdf6ac68033c3,spring-boot-starter/example-autodeployment/src/main/java/org/camunda/bpm/spring/boot/example/autodeployment/AutoDeploymentApplication.java,void notify(ProcessApplicationStartedEvent),void notify(PostDeployEvent)
REMOVE,e1a3fd355e23417a72f57bd8946cdf6ac68033c3,spring-boot-starter/example-simple/src/main/java/org/camunda/bpm/spring/boot/example/simple/SimpleApplication.java,void processApplicationStopped(ProcessApplicationStoppedEvent),null
ADD,e1a3fd355e23417a72f57bd8946cdf6ac68033c3,spring-boot-starter/example-war/src/test/java/org/camunda/bpm/spring/boot/example/war/ApplicationIT.java,null,void testEngineStartedAndProcessDeployed()
REMOVE,e1a3fd355e23417a72f57bd8946cdf6ac68033c3,spring-boot-starter/example-war/src/test/java/org/camunda/bpm/spring/boot/example/war/ApplicationIT.java,void startUpTest(),null
